CAMPUS_ID|NEIGHBORHOOD|RESIDENCE HALL
1866744|Kilgo Quad|House J
1866767|Few Quad|House GG
1867412|Few Quad|House GG
1868143|Keohane Quad|House 4B
1879301|Edens Quad|House 2C
1887735|Crowell Quad|House DD
1876647|Keohane Quad|House 4B
1894588|Edens Quad|House 3B
1742151|Central Campus|1911 Erwin
1874837|Central Campus|1911 Erwin
1875478|Edens Quad|House 1B
1882334|Few Quad|House FF
1884677|Wannamaker Quad|Wannamaker
1887836|Few Quad|House GG
1884630|Craven Quad|House AA
1895892|Keohane Quad|House 4E
1875643|Craven Quad|House Y
1894609|Keohane Quad|House 4B
1897965|Central Campus|302 Anderson
1879373|Central Campus|215 Alexander
1896456|Craven Quad|House AA
1896893|Central Campus|205 Oregon
1867658|Keohane Quad|House 4E
1876845|Few Quad|House HH
1881362|Kilgo Quad|House N
1923416|Central Campus|1914 Lewis
1923449|Central Campus|2015 Yearby
1922758|Central Campus|1915 Erwin
1923500|Craven Quad|House D
1922575|Craven Quad|House Y
1923388|Craven Quad|House AA
1924659|Central Campus|301 Oregon
1925854|Few Quad|House HH
1920033|Few Quad|House HH
1921357|East Neighborhood 2|Giles
1924733|Craven Quad|House B
1922133|Central Campus|220 Alexander
1924995|Crowell Quad|House H
1925713|Central Campus|209 Anderson
1918214|Central Campus|206 Oregon
1921857|Edens Quad|House 2A
1923570|Central Campus|1911 Yearby
1925878|Central Campus|301 Oregon
1921675|Central Campus|205 Alexander
1922827|Craven Quad|House Z
1925982|Craven Quad|House D
1955310|Keohane Quad|House 4B
1931161|East Neighborhood 3|Southgate
1953676|Kilgo Quad|House J
1938251|Keohane Quad|House 4D
1940418|Crowell Quad|House EE
1926678|Edens Quad|House 1A
1943194|Central Campus|1915 Erwin
1945209|Edens Quad|House 1C
1945276|Craven Quad|House A
1935525|Crowell Quad|House DD
1943164|Keohane Quad|House 4B
1955373|Kilgo Quad|House J
1922556|Crowell Quad|House G
1938458|Keohane Quad|House 4B
1949662|Central Campus|220 Alexander
1952681|Keohane Quad|House 4E
1941252|Wannamaker Quad|Wannamaker
1923364|Central Campus|304 Anderson
1928703|Central Campus|221 Anderson
1947394|Craven Quad|House Y
1865116|Central Campus|1914 Lewis
1691480|Central Campus|1901 Erwin
1866837|Kilgo Quad|House J
1868039|East Neighborhood 2|Jarvis
1867630|Central Campus|1708 Pace
1871159|Crowell Quad|House CC
1871839|Craven Quad|House D
1868692|Few Quad|House GG
1863808|Few Quad|House GG
1868625|Edens Quad|House 1B
1871118|Crowell Quad|House CC
1868447|Central Campus|314 Anderson
1868592|Central Campus|1907 Erwin
1867687|Edens Quad|House 1C
1868287|Central Campus|205 Alexander
1871161|Central Campus|1915 Yearby
1871899|Edens Quad|House 2C
1871246|Keohane Quad|House 4E
1869077|Kilgo Quad|House L
1867212|Kilgo Quad|House P
1635948|Keohane Quad|House 4D
1881543|Keohane Quad|House 4A
1884696|East Neighborhood 1|Brown
1885300|Central Campus|1915 Yearby
1886357|Kilgo Quad|House J
1893530|Crowell Quad|House BB
1893753|Edens Quad|House 1B
1894690|Central Campus|1909 Yearby
1898514|Few Quad|House HH
1898760|Central Campus|1911 Erwin
1900799|Craven Quad|House C
1901100|Central Campus|1907 Erwin
1882862|Central Campus|1911 Erwin
1901702|Edens Quad|House 2C
1887096|Kilgo Quad|House K
1779160|Craven Quad|House D
1890999|Edens Quad|House 1A
1898921|Few Quad|House HH
1897720|Keohane Quad|House 4B
1901872|Keohane Quad|House 4B
1895708|Craven Quad|House A
1873067|Kilgo Quad|House M
1922836|Central Campus|2015 Yearby
1922959|Edens Quad|House 3A
1918242|Crowell Quad|House CC
1922090|Central Campus|1712 Pace
1925007|Few Quad|House HH
1925147|Central Campus|210 Alexander
1920162|Edens Quad|House 1C
1922868|Crowell Quad|House G
1922935|Edens Quad|House 1C
1922788|Central Campus|205 Oregon
1921732|Edens Quad|House 1C
1921740|Central Campus|2015 Yearby
1926342|Central Campus|1915 Yearby
1921579|Central Campus|215 Anderson
1922342|Keohane Quad|House 4D
1923574|Few Quad|House FF
1923395|Keohane Quad|House 4D
1925989|Central Campus|1914 Lewis
1922512|Edens Quad|House 1A
1925913|Craven Quad|House A
1922644|Edens Quad|House 3A
1946175|Few Quad|House FF
1947060|Edens Quad|House 2A
1953782|Crowell Quad|House EE
1930425|Craven Quad|House B
1938465|Central Campus|206 Oregon
1946759|Central Campus|1914 Lewis
1941070|Craven Quad|House E
1926164|East Neighborhood 2|Aycock
1935806|Kilgo Quad|House J
1945598|Kilgo Quad|House L
1781337|Craven Quad|House T
1922727|Central Campus|205 Oregon
1953960|Kilgo Quad|House O
1926067|Keohane Quad|House 4B
1948378|Central Campus|1708 Pace
1925168|Wannamaker Quad|Wannamaker
1953669|Edens Quad|House 3A
1926183|Central Campus|312 Anderson
1710138|Wannamaker Quad|Wannamaker
1960716|Craven Quad|House B
1951238|Few Quad|House HH
1868519|Crowell Quad|House BB
1868475|Central Campus|215 Alexander
1868589|Kilgo Quad|House K
1871156|Keohane Quad|House 4B
1871225|Craven Quad|House S
1871926|Kilgo Quad|House O
1711640|Kilgo Quad|House L
1785394|Keohane Quad|House 4E
1870906|Few Quad|House FF
1871953|Wannamaker Quad|Wannamaker
1872048|Kilgo Quad|House J
1634485|Few Quad|House HH
1765492|Craven Quad|House Y
1868747|Wannamaker Quad|Wannamaker
1868902|Keohane Quad|House 4A
1871069|Few Quad|House FF
1871697|Kilgo Quad|House J
1871929|Few Quad|House GG
1862366|Keohane Quad|House 4B
1867255|Crowell Quad|House H
1868545|Crowell Quad|House BB
1899098|Craven Quad|House C
1884112|Kilgo Quad|House L
1896286|Crowell Quad|House CC
1887717|Central Campus|2015 Yearby
1893051|Keohane Quad|House 4B
1893403|Central Campus|1915 Yearby
1870075|Craven Quad|House D
1881102|Keohane Quad|House 4D
1883667|Few Quad|House GG
1635924|Keohane Quad|House 4B
1701106|Kilgo Quad|House L
1865107|Central Campus|314 Anderson
1875726|Central Campus|1915 Yearby
1878611|Keohane Quad|House 4D
1883458|Keohane Quad|House 4A
1884803|Edens Quad|House 2A
1886794|Kilgo Quad|House J
1891184|Keohane Quad|House 4A
1893859|Kilgo Quad|House P
1895619|Central Campus|1915 Yearby
1899821|Craven Quad|House Y
1922063|Central Campus|1914 Lewis
1920939|Edens Quad|House 2C
1922203|Craven Quad|House B
1922274|Craven Quad|House F
1925188|Edens Quad|House 1A
1922260|Kilgo Quad|House J
1920864|Few Quad|House FF
1923543|Craven Quad|House C
1921635|Central Campus|2011 Yearby
1922311|Central Campus|205 Oregon
1922510|Craven Quad|House VO
1922913|Edens Quad|House 1C
1920006|Few Quad|House GG
1922374|Edens Quad|House 2A
1922804|Central Campus|301 Oregon
1922892|Central Campus|2011 Yearby
1923584|Wannamaker Quad|Wannamaker
1925605|Few Quad|House GG
1924463|Edens Quad|House 1A
1921597|Crowell Quad|House G
1922817|Kilgo Quad|House P
1952431|Central Campus|201 Alexander
1954214|Craven Quad|House VO
1922593|Craven Quad|House A
1928835|Edens Quad|House 1A
1944205|Edens Quad|House 1C
1946387|Central Campus|1915 Erwin
1933641|Keohane Quad|House 4D
1920591|Edens Quad|House 2C
1926658|Kilgo Quad|House N
1933474|Central Campus|1914 Lewis
1935585|Central Campus|215 Anderson
1943289|Kilgo Quad|House N
1945927|Edens Quad|House 2C
1931019|Edens Quad|House 2A
1936929|Central Campus|1901 Erwin
1949875|Wannamaker Quad|Wannamaker
1957600|Central Campus|205 Oregon
1929949|Wannamaker Quad|Wannamaker
1946642|Keohane Quad|House 4E
1945829|East Neighborhood 4|Blackwell
1932615|Crowell Quad|House BB
1868731|Central Campus|1712 Pace
1868772|Central Campus|1712 Pace
1870950|Keohane Quad|House 4D
1871805|Central Campus|221 Anderson
1868577|Kilgo Quad|House L
1868558|Central Campus|1907 Erwin
1871101|Keohane Quad|House 4E
1871645|Few Quad|House GG
1779915|Edens Quad|House 1A
1868584|Few Quad|House GG
1868385|Keohane Quad|House 4E
1868378|Kilgo Quad|House L
1867295|Central Campus|2011 Yearby
1868758|Kilgo Quad|House J
1868487|Craven Quad|House S
1868088|Few Quad|House GG
1868008|Craven Quad|House X
1870982|Crowell Quad|House CC
1868489|East Neighborhood 2|Epworth
1871733|Few Quad|House HH
1868442|Craven Quad|House VO
1887102|Keohane Quad|House 4A
1894050|Craven Quad|House E
1900696|Keohane Quad|House 4B
1898282|Central Campus|1708 Pace
1885888|Craven Quad|House E
1903312|Craven Quad|House A
1886271|Central Campus|314 Anderson
1877079|Keohane Quad|House 4E
1892379|Few Quad|House HH
1902324|Keohane Quad|House 4E
1879625|Central Campus|1907 Erwin
1899986|Few Quad|House HH
1884787|Few Quad|House GG
1886927|Edens Quad|House 2C
1887098|Central Campus|1915 Yearby
1879629|Keohane Quad|House 4A
1895729|Edens Quad|House 3B
1868427|Craven Quad|House E
1876679|Kilgo Quad|House P
1886876|Few Quad|House FF
1901109|Kilgo Quad|House J
1729994|Keohane Quad|House 4D
1921866|Wannamaker Quad|Wannamaker
1925070|Kilgo Quad|House L
1921738|Central Campus|1914 Lewis
1922751|Central Campus|215 Anderson
1922777|Crowell Quad|House G
1922914|Central Campus|206 Oregon
1922988|Central Campus|1905 Erwin
1925648|Central Campus|1809 Erwin
1920817|Craven Quad|House E
1924351|Central Campus|205 Oregon
1920809|Central Campus|206 Alexander
1924658|Few Quad|House HH
1925388|Central Campus|205 Oregon
1925849|Craven Quad|House X
1920814|Wannamaker Quad|Wannamaker
1922808|Central Campus|301 Oregon
1923020|Kilgo Quad|House K
1923405|Keohane Quad|House 4B
1926057|Keohane Quad|House 4B
1922800|Kilgo Quad|House K
1923001|Craven Quad|House VO
1935494|Kilgo Quad|House N
1927836|Kilgo Quad|House L
1928075|Edens Quad|House 2C
1946087|Wannamaker Quad|Wannamaker
1946568|Few Quad|House HH
1955476|Craven Quad|House A
1957211|Wannamaker Quad|Wannamaker
1958234|Keohane Quad|House 4B
1920892|Central Campus|220 Alexander
1943335|Craven Quad|House E
1942807|Keohane Quad|House 4B
1956976|Central Campus|1915 Yearby
1923418|Central Campus|220 Alexander
1924260|Craven Quad|House Y
1940836|Craven Quad|House A
1952535|Central Campus|220 Alexander
1926404|Crowell Quad|House EE
1931915|Edens Quad|House 1A
1926565|Crowell Quad|House H
1932008|Central Campus|215 Alexander
1866730|Kilgo Quad|House N
1871840|Edens Quad|House 3B
1868429|Few Quad|House GG
1871663|Kilgo Quad|House L
1871881|East Neighborhood 2|Giles
1866805|Few Quad|House FF
1868771|Central Campus|2011 Yearby
1767354|Craven Quad|House C
1871005|Craven Quad|House VOO
1867639|Central Campus|202 Alexander
1746207|Few Quad|House GG
1868380|Kilgo Quad|House O
1846173|Central Campus|221 Anderson
1074131|East Neighborhood 4|Blackwell
1865798|Kilgo Quad|House O
1874693|Few Quad|House HH
1891309|Edens Quad|House 1A
1871252|Few Quad|House GG
1868502|Crowell Quad|House G
1873508|Edens Quad|House 1C
1765366|Crowell Quad|House H
1768208|Kilgo Quad|House N
1869859|Central Campus|2015 Yearby
1871680|East Neighborhood 4|Bell Tower
1885534|Central Campus|1712 Pace
1887664|Kilgo Quad|House N
1887934|Kilgo Quad|House P
1894747|Keohane Quad|House 4B
1895481|Central Campus|1907 Erwin
1899422|Keohane Quad|House 4B
1899461|Central Campus|205 Alexander
1900229|Crowell Quad|House CC
1901239|East Neighborhood 1|Bassett
1891963|Central Campus|1915 Yearby
1895924|Keohane Quad|House 4B
1876917|Kilgo Quad|House J
1894891|Keohane Quad|House 4B
1887231|Crowell Quad|House G
1887164|Few Quad|House GG
1884264|Craven Quad|House Z
1193119|Keohane Quad|House 4E
1923000|Craven Quad|House E
1923547|Central Campus|302 Oregon
1923522|Edens Quad|House 2A
1925385|Keohane Quad|House 4B
1925910|Edens Quad|House 2A
1921879|Few Quad|House HH
1922567|Central Campus|1712 Pace
1923571|Craven Quad|House W
1924705|Keohane Quad|House 4B
1926073|Crowell Quad|House G
1927317|Central Campus|2011 Yearby
1926348|Edens Quad|House 1A
1922134|Few Quad|House HH
1922135|Few Quad|House HH
1922127|Few Quad|House HH
1928399|Central Campus|312 Anderson
1926351|Central Campus|1700 Pace
1922307|Central Campus|206 Alexander
1922705|Edens Quad|House 1C
1922790|Central Campus|1915 Erwin
1922799|Central Campus|302 Oregon
1940891|Central Campus|221 Anderson
1954630|Kilgo Quad|House M
1940411|Central Campus|1914 Lewis
1940538|Edens Quad|House 3B
1933412|Kilgo Quad|House P
1943712|Central Campus|302 Oregon
1951553|Kilgo Quad|House J
1948007|Edens Quad|House 2C
1949486|Keohane Quad|House 4E
1942751|Kilgo Quad|House N
1951573|Central Campus|2015 Yearby
1927224|Central Campus|2011 Yearby
1943055|Central Campus|221 Anderson
1943627|Few Quad|House GG
1946009|Craven Quad|House R
1950472|Few Quad|House HH
1922291|Edens Quad|House 2C
1946220|Crowell Quad|House G
1958084|Keohane Quad|House 4B
1971606|Central Campus|1708 Pace
1917508|Kilgo Quad|House O
1898867|Craven Quad|House E
1884287|Craven Quad|House VOO
1878510|Central Campus|1915 Yearby
1910540|Crowell Quad|House G
1866907|Central Campus|314 Anderson
1883976|Keohane Quad|House 4B
1887748|Keohane Quad|House 4B
1899713|Craven Quad|House C
1780198|Kilgo Quad|House O
1891066|Central Campus|1914 Lewis
1886851|Kilgo Quad|House K
1895244|Keohane Quad|House 4B
1881558|Keohane Quad|House 4B
1894682|Crowell Quad|House CC
1865115|Edens Quad|House 2C
1883436|Few Quad|House HH
1878374|Kilgo Quad|House J
1887300|Central Campus|215 Alexander
1876826|Crowell Quad|House G
1774971|Edens Quad|House 2A
1767537|Central Campus|206 Oregon
1886576|Crowell Quad|House H
1881178|Crowell Quad|House H
1885284|Crowell Quad|House DD
1887210|Keohane Quad|House 4D
1893758|Few Quad|House HH
1882543|Keohane Quad|House 4D
1639230|Keohane Quad|House 4E
1891008|Kilgo Quad|House N
1887295|Few Quad|House HH
1883663|Few Quad|House GG
1877011|Kilgo Quad|House P
1882690|Central Campus|215 Alexander
1885954|Few Quad|House GG
1780412|Kilgo Quad|House P
1895605|Craven Quad|House AA
1901256|Keohane Quad|House 4D
1893497|Craven Quad|House D
1894169|Few Quad|House FF
1894824|Edens Quad|House 1A
1869988|Kilgo Quad|House N
1897861|Central Campus|312 Anderson
1923409|Crowell Quad|House G
1923536|Central Campus|1911 Yearby
1923653|Central Campus|302 Oregon
1925361|Kilgo Quad|House J
1922533|Craven Quad|House VO
1922542|Kilgo Quad|House P
1922989|Central Campus|1400 Faber
1926035|Central Campus|302 Anderson
1921338|Central Campus|1901 Erwin
1922812|Few Quad|House GG
1923464|Keohane Quad|House 4E
1921390|Central Campus|301 Oregon
1922654|Central Campus|1907 Erwin
1920857|Central Campus|301 Oregon
1923582|Edens Quad|House 1A
1922391|Keohane Quad|House 4B
1922642|Edens Quad|House 1C
1923593|Central Campus|2015 Yearby
1920851|Central Campus|1909 Yearby
1922759|Crowell Quad|House EE
1923340|Craven Quad|House D
1955463|Keohane Quad|House 4E
1968890|Keohane Quad|House 4A
1941201|Few Quad|House FF
1940616|Edens Quad|House 3A
1940616|Few Quad|House GG
1944273|Keohane Quad|House 4B
1933357|Kilgo Quad|House K
1933980|Central Campus|1911 Yearby
1943233|Craven Quad|House E
1942872|Craven Quad|House Z
1952295|Kilgo Quad|House I
1957962|Keohane Quad|House 4D
1951669|Crowell Quad|House H
1947696|Few Quad|House FF
1920961|Central Campus|1911 Erwin
1944854|Crowell Quad|House G
1953359|Central Campus|1911 Yearby
1940895|Kilgo Quad|House J
1922531|Keohane Quad|House 4A
1937845|Craven Quad|House B
1940375|Crowell Quad|House G
1891475|Edens Quad|House 1A
1873732|Central Campus|1911 Erwin
1871635|Edens Quad|House 1A
1885463|Central Campus|1914 Lewis
1885806|Keohane Quad|House 4B
1756942|Crowell Quad|House BB
1892718|Edens Quad|House 2C
1884933|Kilgo Quad|House M
1866909|Central Campus|221 Anderson
1883588|Few Quad|House HH
1897149|Few Quad|House HH
1875516|Edens Quad|House 3A
1871678|Few Quad|House HH
1895507|Central Campus|312 Anderson
1879443|Keohane Quad|House 4A
1892424|Central Campus|215 Alexander
1897427|Central Campus|201 Alexander
1874825|Few Quad|House HH
1878721|Central Campus|206 Oregon
1882844|Few Quad|House HH
1901235|Crowell Quad|House G
1878924|Kilgo Quad|House P
1877062|Edens Quad|House 2C
1769308|Few Quad|House GG
1866277|Keohane Quad|House 4A
1879685|Central Campus|215 Alexander
1886339|Keohane Quad|House 4D
1886816|Kilgo Quad|House P
1896416|Keohane Quad|House 4B
1896940|Wannamaker Quad|Wannamaker
1898990|Central Campus|1400 Faber
1901003|Few Quad|House HH
1901572|Central Campus|1708 Pace
1902496|Craven Quad|House VO
1875659|Kilgo Quad|House M
1875687|Keohane Quad|House 4A
1878761|Few Quad|House HH
1883642|East Neighborhood 4|Bell Tower
1884191|Kilgo Quad|House O
1884626|Few Quad|House GG
1885417|Keohane Quad|House 4B
1885818|Few Quad|House HH
1922960|Few Quad|House HH
1923596|Central Campus|1915 Yearby
1922287|Edens Quad|House 2C
1923461|Crowell Quad|House DD
1923527|Central Campus|1400 Faber
1926180|Central Campus|1911 Yearby
1922669|Edens Quad|House 1C
1923599|Keohane Quad|House 4D
1921677|Edens Quad|House 3A
1922107|Keohane Quad|House 4A
1922679|Few Quad|House HH
1922750|Central Campus|206 Alexander
1925650|Central Campus|220 Alexander
1921332|Central Campus|1708 Pace
1922865|Central Campus|1901 Erwin
1926124|Crowell Quad|House CC
1921239|Central Campus|312 Anderson
1925194|Few Quad|House HH
1922249|Central Campus|302 Oregon
1922942|Central Campus|221 Anderson
1925631|Edens Quad|House 2C
1946185|Edens Quad|House 3A
1949907|Keohane Quad|House 4B
1935784|Kilgo Quad|House J
1954298|Crowell Quad|House DD
1935866|Kilgo Quad|House J
1919633|Edens Quad|House 1A
1935672|Central Campus|206 Oregon
1938327|Central Campus|301 Oregon
1933420|Craven Quad|House Y
1930743|Wannamaker Quad|Wannamaker
1954754|Central Campus|1911 Erwin
1922797|Few Quad|House HH
1926295|Edens Quad|House 2C
1944249|Central Campus|1915 Erwin
1931804|Central Campus|202 Alexander
1938552|Central Campus|2015 Yearby
1954356|Crowell Quad|House CC
1933486|Kilgo Quad|House K
1947789|Few Quad|House GG
1959436|Keohane Quad|House 4B
1942789|Kilgo Quad|House O
1957691|Keohane Quad|House 4A
1901562|Crowell Quad|House BB
1896319|Craven Quad|House D
1901673|Keohane Quad|House 4B
1772022|Central Campus|1905 Erwin
1869962|Few Quad|House FF
1871060|Central Campus|2015 Yearby
1873570|Keohane Quad|House 4A
1885315|Crowell Quad|House BB
1887693|Keohane Quad|House 4E
1879432|Edens Quad|House 2C
1886184|Keohane Quad|House 4E
1879311|Central Campus|1905 Erwin
1882685|Kilgo Quad|House P
1895856|Crowell Quad|House H
1898705|Central Campus|2015 Yearby
1887837|Few Quad|House GG
1870996|Kilgo Quad|House L
1896817|Few Quad|House GG
1885735|Central Campus|1909 Yearby
1886080|Keohane Quad|House 4B
1779581|Keohane Quad|House 4E
1887226|Central Campus|1708 Pace
1890986|Craven Quad|House C
1891776|Few Quad|House HH
1895230|Keohane Quad|House 4E
1896374|Keohane Quad|House 4B
1896625|Edens Quad|House 1C
1898277|Central Campus|304 Anderson
1898327|Kilgo Quad|House L
1898840|Keohane Quad|House 4B
1899742|Central Campus|314 Anderson
1901426|Craven Quad|House D
1903249|Keohane Quad|House 4B
1887181|Wannamaker Quad|Wannamaker
1885689|Kilgo Quad|House J
1885551|Central Campus|1915 Yearby
1887874|Few Quad|House GG
1899594|Keohane Quad|House 4A
1893154|Central Campus|221 Anderson
1882814|Crowell Quad|House H
1881083|Central Campus|1708 Pace
1885143|Keohane Quad|House 4E
1925909|Craven Quad|House B
1921929|Few Quad|House FF
1922978|Edens Quad|House 2A
1922582|Kilgo Quad|House J
1922612|Keohane Quad|House 4B
1923619|Crowell Quad|House EE
1925584|Edens Quad|House 1A
1921577|Crowell Quad|House DD
1925426|Edens Quad|House 2A
1920918|Craven Quad|House W
1922084|Keohane Quad|House 4E
1925963|Craven Quad|House VO
1923435|Central Campus|1708 Pace
1925339|Wannamaker Quad|Wannamaker
1923495|Edens Quad|House 1A
1924685|Central Campus|1901 Erwin
1920543|Keohane Quad|House 4D
1922663|Few Quad|House FF
1922845|Edens Quad|House 2A
1922075|Keohane Quad|House 4D
1922283|Edens Quad|House 2C
1925042|Kilgo Quad|House J
1928041|Keohane Quad|House 4B
1940615|Central Campus|1712 Pace
1934420|Central Campus|314 Anderson
1924824|Kilgo Quad|House J
1927231|Few Quad|House GG
1954974|Few Quad|House GG
1946466|Edens Quad|House 1A
1945301|Keohane Quad|House 4E
1949814|Few Quad|House GG
1927519|East Neighborhood 4|Randolph
1929289|Keohane Quad|House 4E
1934038|Craven Quad|House T
1940923|Crowell Quad|House G
1937710|Central Campus|312 Anderson
1925860|Kilgo Quad|House P
1937267|Keohane Quad|House 4B
1944090|Keohane Quad|House 4B
